,2,3,4,5,6,7,8,9,10,11,12,13
2,2,2,3,3,4,4,5,5,6,6,7,7
3,1,2,2,2,2,3,2,4,3,6,3,7
4,2,2,3,2,4,2,5,4,6,5,9,6
5,2,2,2,2,2,2,2,2,2,3,2,4
6,2,2,2,3,5,2,6,3,8,4,10,5
7,1,2,2,2,2,2,2,2,4,2,3,4
8,3,2,3,3,4,4,4,5,6,4,14,3
9,2,2,3,3,2,2,3,3,4,3,4,4
10,2,2,2,4,4,2,5,4,9,4,17,6
11,2,2,3,2,2,3,4,3,5,4,5,3
12,2,2,3,3,3,3,4,5,5,5,8,5
13,2,2,4,2,2,4,3,4,5,2,4,4
