---,Length = 2,Length = 3,Length = 4,Length = 5,Length = 6,
Base: 2,{'Max len of loop': 0; 'Fixed points': ['01']},{'Max len of loop': 0; 'Fixed points': ['011']},{'Max len of loop': 0; 'Fixed points': ['0111'; '1001']},{'Max len of loop': 0; 'Fixed points': ['01111'; '10101']},{'Max len of loop': 0; 'Fixed points': ['011111'; '101101'; '110001']},
Base: 3,{'Max len of loop': 0; 'Fixed points': []},{'Max len of loop': 1; 'Fixed points': []},{'Max len of loop': 1; 'Fixed points': []},{'Max len of loop': 0; 'Fixed points': ['20211']},{'Max len of loop': 2; 'Fixed points': []},
Base: 4,{'Max len of loop': 1; 'Fixed points': []},{'Max len of loop': 0; 'Fixed points': ['132']},{'Max len of loop': 1; 'Fixed points': ['3021']},{'Max len of loop': 1; 'Fixed points': []},{'Max len of loop': 0; 'Fixed points': ['213312'; '310221'; '330201']},
Base: 5,{'Max len of loop': 0; 'Fixed points': ['13']},{'Max len of loop': 1; 'Fixed points': []},{'Max len of loop': 0; 'Fixed points': ['3032']},{'Max len of loop': 3; 'Fixed points': []},{'Max len of loop': 4; 'Fixed points': []},
Base: 6,{'Max len of loop': 2; 'Fixed points': []},{'Max len of loop': 0; 'Fixed points': ['253']},{'Max len of loop': 5; 'Fixed points': []},{'Max len of loop': 1; 'Fixed points': ['41532']},{'Max len of loop': 2; 'Fixed points': ['325523'; '420432'; '530421']},
Base: 7,{'Max len of loop': 0; 'Fixed points': []},{'Max len of loop': 1; 'Fixed points': []},{'Max len of loop': 2; 'Fixed points': []},{'Max len of loop': 4; 'Fixed points': []},{'Max len of loop': 5; 'Fixed points': []},
Base: 8,{'Max len of loop': 2; 'Fixed points': ['25']},{'Max len of loop': 0; 'Fixed points': ['374']},{'Max len of loop': 4; 'Fixed points': []},{'Max len of loop': 3; 'Fixed points': []},{'Max len of loop': 2; 'Fixed points': ['437734'; '640632']},
Base: 9,{'Max len of loop': 1; 'Fixed points': []},{'Max len of loop': 1; 'Fixed points': []},{'Max len of loop': 2; 'Fixed points': []},{'Max len of loop': 4; 'Fixed points': ['62853']},{'Max len of loop': 13; 'Fixed points': []},
Base: 10,{'Max len of loop': 4; 'Fixed points': []},{'Max len of loop': 0; 'Fixed points': ['495']},{'Max len of loop': 0; 'Fixed points': ['6174']},{'Max len of loop': 3; 'Fixed points': []},{'Max len of loop': 6; 'Fixed points': ['549945'; '631764']},
